,f1,accuracy,roc_auc,best_parms
RF no_pca,0.8181829615928602,0.8182,0.9361320708987831,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 500}"
XGB no_pca,0.8128425408279236,0.81285,0.9327559010149189,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500, 'subsample': 0.8}"
GBC no_pca,0.8061794190537371,0.80615,0.9265235684889447,"{'learning_rate': 0.5, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}"
XGB pca,0.8033795390506451,0.8035,0.9271101568196108,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500, 'subsample': 0.8}"
RF pca,0.8008974238232885,0.8011,0.9258302311655408,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 500}"
GBC pca,0.7799900098684057,0.78015,0.9111834722482915,"{'learning_rate': 0.5, 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 1.0}"
KNN no_pca,0.7784674499498601,0.7784,0.9126634900367532,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}"
KNN pca,0.7784674499498601,0.7784,0.9126634900367532,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}"
DT no_pca,0.7438593027941308,0.744,0.79655558569697,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
DT pca,0.7045470213740251,0.7045,0.7646195672964947,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
ADAB no_pca,0.6787250874534226,0.6787,0.818562867083005,"{'algorithm': 'SAMME.R', 'learning_rate': 1.0, 'n_estimators': 200}"
LR pca,0.650913258416919,0.65415,0.8247625140017271,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}"
LR no_pca,0.6508094918589322,0.65405,0.8247738464616935,"{'C': 10.0, 'penalty': 'l1', 'solver': 'liblinear'}"
ADAB pca,0.6481170666244036,0.65275,0.7983688509952848,"{'algorithm': 'SAMME.R', 'learning_rate': 1.0, 'n_estimators': 100}"
